purchase_id,purchase_date,product_id,quantity_purchased,purchase_price_inr
PR00001,2022-01-01,P050,8,1012
PR00002,2022-01-01,P065,60,1804
PR00003,2022-01-01,P085,168,410
PR00004,2022-01-03,P117,8,1866
PR00005,2022-01-03,P151,137,1985
PR00006,2022-01-03,P153,76,1922
PR00007,2022-01-04,P004,144,280
PR00008,2022-01-05,P001,101,300
PR00009,2022-01-06,P138,101,1456
PR00010,2022-01-07,P081,27,1698
PR00011,2022-01-07,P158,6,1924
PR00012,2022-01-08,P052,30,946
PR00013,2022-01-08,P162,45,1876
PR00014,2022-01-09,P044,76,1119
PR00015,2022-01-10,P186,6,2230
PR00016,2022-01-11,P012,15,1531
PR00017,2022-01-11,P026,177,447
PR00018,2022-01-11,P143,26,788
PR00019,2022-01-11,P182,54,1690
PR00020,2022-01-12,P075,34,2006
PR00021,2022-01-16,P002,75,320
PR00022,2022-01-17,P049,16,2143
PR00023,2022-01-18,P010,28,120
PR00024,2022-01-18,P094,40,1921
PR00025,2022-01-19,P133,26,1481
PR00026,2022-01-19,P141,16,1482
PR00027,2022-01-21,P055,6,1010
PR00028,2022-01-22,P189,68,1741
PR00029,2022-01-24,P103,28,1315
PR00030,2022-01-26,P148,33,470
PR00031,2022-01-27,P071,44,1908
PR00032,2022-01-28,P072,57,2033
PR00033,2022-01-29,P005,64,250
PR00034,2022-01-29,P188,76,1607
PR00035,2022-01-30,P013,80,1544
PR00036,2022-01-30,P086,88,1531
PR00037,2022-01-31,P132,39,372
PR00038,2022-02-01,P096,134,1227
PR00039,2022-02-03,P024,101,2318
PR00040,2022-02-03,P105,8,1437
PR00041,2022-02-03,P114,14,155
PR00042,2022-02-04,P009,20,80
PR00043,2022-02-05,P116,6,2185
PR00044,2022-02-06,P048,28,1713
PR00045,2022-02-06,P073,64,107
PR00046,2022-02-07,P087,52,2035
PR00047,2022-02-07,P158,6,1924
PR00048,2022-02-07,P181,33,1977
PR00049,2022-02-12,P017,48,422
PR00050,2022-02-13,P088,44,970
PR00051,2022-02-15,P037,54,1454
PR00052,2022-02-15,P042,45,208
PR00053,2022-02-15,P101,28,1259
PR00054,2022-02-15,P173,94,2306
PR00055,2022-02-16,P011,96,1458
PR00056,2022-02-17,P051,51,2407
PR00057,2022-02-17,P062,132,133
PR00058,2022-02-19,P077,6,1806
PR00059,2022-02-20,P039,96,660
PR00060,2022-02-20,P067,42,2476
PR00061,2022-02-20,P082,38,424
PR00062,2022-02-21,P149,84,1841
PR00063,2022-02-22,P145,164,728
PR00064,2022-02-24,P056,109,1719
PR00065,2022-02-26,P028,6,358
PR00066,2022-02-26,P152,9,2297
PR00067,2022-02-27,P186,6,2230
PR00068,2022-02-28,P018,80,1967
PR00069,2022-03-01,P034,22,347
PR00070,2022-03-02,P131,84,1380
PR00071,2022-03-04,P066,32,1533
PR00072,2022-03-04,P092,6,1028
PR00073,2022-03-05,P036,22,474
PR00074,2022-03-05,P055,6,1010
PR00075,2022-03-05,P099,71,1955
PR00076,2022-03-05,P168,60,1278
PR00077,2022-03-08,P045,15,2144
PR00078,2022-03-09,P098,8,1616
PR00079,2022-03-09,P159,150,832
PR00080,2022-03-10,P008,111,180
PR00081,2022-03-11,P113,24,654
PR00082,2022-03-11,P122,99,2128
PR00083,2022-03-11,P187,96,1993
PR00084,2022-03-13,P023,30,1684
PR00085,2022-03-14,P147,38,1764
PR00086,2022-03-15,P006,99,280
PR00087,2022-03-15,P021,6,1309
PR00088,2022-03-16,P053,120,1953
PR00089,2022-03-17,P104,184,591
PR00090,2022-03-17,P107,150,2349
PR00091,2022-03-18,P020,36,864
PR00092,2022-03-19,P044,77,1119
PR00093,2022-03-19,P171,80,575
PR00094,2022-03-20,P184,16,1694
PR00095,2022-03-21,P063,79,519
PR00096,2022-03-21,P136,28,1901
PR00097,2022-03-21,P174,6,1432
PR00098,2022-03-22,P167,44,605
PR00099,2022-03-25,P033,14,2365
PR00100,2022-03-26,P175,56,174
PR00101,2022-03-27,P014,52,1155
PR00102,2022-03-28,P005,66,250
PR00103,2022-03-28,P032,16,330
PR00104,2022-03-31,P079,15,1909
PR00105,2022-03-31,P097,148,279
PR00106,2022-03-31,P180,26,418
PR00107,2022-03-31,P185,12,2161
PR00108,2022-04-01,P047,24,1722
PR00109,2022-04-01,P157,177,1493
